id,time,zhonghnanindown
5001,2016/1/7 8:40,71
5002,2016/1/7 8:45,49
5003,2016/1/7 8:50,56
5004,2016/1/7 8:55,40
5005,2016/1/7 9:00,44
5006,2016/1/7 9:05,47
5007,2016/1/7 9:10,42
5008,2016/1/7 9:15,59
5009,2016/1/7 9:20,54
5010,2016/1/7 9:25,38
5011,2016/1/7 9:30,54
5012,2016/1/7 9:35,34
5013,2016/1/7 9:40,52
5014,2016/1/7 9:45,55
5015,2016/1/7 9:50,39
5016,2016/1/7 9:55,39
5017,2016/1/7 10:00,39
5018,2016/1/7 10:05,39
5019,2016/1/7 10:10,38
5020,2016/1/7 10:15,50
5021,2016/1/7 10:20,42
5022,2016/1/7 10:25,40
5023,2016/1/7 10:30,42
5024,2016/1/7 10:35,51
5025,2016/1/7 10:40,44
5026,2016/1/7 10:45,44
5027,2016/1/7 10:50,48
5028,2016/1/7 10:55,40
5029,2016/1/7 11:00,45
5030,2016/1/7 11:05,39
5031,2016/1/7 11:10,34
5032,2016/1/7 11:15,27
5033,2016/1/7 11:20,34
5034,2016/1/7 11:25,31
5035,2016/1/7 11:30,28
5036,2016/1/7 11:35,24
5037,2016/1/7 11:40,29
5038,2016/1/7 11:45,29
5039,2016/1/7 11:50,34
5040,2016/1/7 11:55,29
5041,2016/1/7 12:00,37
5042,2016/1/7 12:05,37
5043,2016/1/7 12:10,23
5044,2016/1/7 12:15,40
5045,2016/1/7 12:20,31
5046,2016/1/7 12:25,31
5047,2016/1/7 12:30,23
5048,2016/1/7 12:35,25
5049,2016/1/7 12:40,29
5050,2016/1/7 12:45,32
5051,2016/1/7 12:50,30
5052,2016/1/7 12:55,38
5053,2016/1/7 13:00,44
5054,2016/1/7 13:05,37
5055,2016/1/7 13:10,36
5056,2016/1/7 13:15,37
5057,2016/1/7 13:20,44
5058,2016/1/7 13:25,36
5059,2016/1/7 13:30,35
5060,2016/1/7 13:35,40
5061,2016/1/7 13:40,30
5062,2016/1/7 13:45,36
5063,2016/1/7 13:50,37
5064,2016/1/7 13:55,42
5065,2016/1/7 14:00,33
5066,2016/1/7 14:05,39
5067,2016/1/7 14:10,35
5068,2016/1/7 14:15,43
5069,2016/1/7 14:20,41
5070,2016/1/7 14:25,47
5071,2016/1/7 14:30,35
5072,2016/1/7 14:35,40
5073,2016/1/7 14:40,50
5074,2016/1/7 14:45,38
5075,2016/1/7 14:50,36
5076,2016/1/7 14:55,49
5077,2016/1/7 15:00,39
5078,2016/1/7 15:05,37
5079,2016/1/7 15:10,47
5080,2016/1/7 15:15,48
5081,2016/1/7 15:20,39
5082,2016/1/7 15:25,45
5083,2016/1/7 15:30,53
5084,2016/1/7 15:35,58
5085,2016/1/7 15:40,57
5086,2016/1/7 15:45,39
5087,2016/1/7 15:50,61
5088,2016/1/7 15:55,53
5089,2016/1/7 16:00,59
5090,2016/1/7 16:05,44
5091,2016/1/7 16:10,58
5092,2016/1/7 16:15,57
5093,2016/1/7 16:20,54
5094,2016/1/7 16:25,54
5095,2016/1/7 16:30,48
5096,2016/1/7 16:35,53
5097,2016/1/7 16:40,65
5098,2016/1/7 16:45,68
5099,2016/1/7 16:50,53
5100,2016/1/7 16:55,59
5101,2016/1/7 17:00,45
5102,2016/1/7 17:05,75
5103,2016/1/7 17:10,60
5104,2016/1/7 17:15,46
5105,2016/1/7 17:20,46
5106,2016/1/7 17:25,51
5107,2016/1/7 17:30,55
5108,2016/1/7 17:35,40
5109,2016/1/7 17:40,60
5110,2016/1/7 17:45,61
5111,2016/1/7 17:50,59
5112,2016/1/7 17:55,54
5113,2016/1/7 18:00,45
5114,2016/1/7 18:05,58
5115,2016/1/7 18:10,38
5116,2016/1/7 18:15,37
5117,2016/1/7 18:20,39
5118,2016/1/7 18:25,35
5119,2016/1/7 18:30,34
5120,2016/1/7 18:35,30
5121,2016/1/7 18:40,45
5122,2016/1/7 18:45,25
5123,2016/1/7 18:50,38
5124,2016/1/7 18:55,22
5125,2016/1/7 19:00,27
5126,2016/1/7 19:05,29
5127,2016/1/7 19:10,23
5128,2016/1/7 19:15,29
5129,2016/1/7 19:20,20
5130,2016/1/7 19:25,24
5131,2016/1/7 19:30,19
5132,2016/1/7 19:35,19
5133,2016/1/7 19:40,19
5134,2016/1/7 19:45,26
5135,2016/1/7 19:50,17
5136,2016/1/7 19:55,23
5137,2016/1/7 20:00,17
5138,2016/1/7 20:05,23
5139,2016/1/7 20:10,22
5140,2016/1/7 20:15,15
5141,2016/1/7 20:20,21
5142,2016/1/7 20:25,20
5143,2016/1/7 20:30,16
5144,2016/1/7 20:35,17
5145,2016/1/7 20:40,12
5146,2016/1/7 20:45,10
5147,2016/1/7 20:50,12
5148,2016/1/7 20:55,17
5149,2016/1/7 21:00,12
5150,2016/1/7 21:05,17
5151,2016/1/7 21:10,13
5152,2016/1/7 21:15,13
5153,2016/1/7 21:20,16
5154,2016/1/7 21:25,13
5155,2016/1/7 21:30,17
5156,2016/1/7 21:35,10
5157,2016/1/7 21:40,11
5158,2016/1/7 21:45,11
5159,2016/1/7 21:50,9
5160,2016/1/7 21:55,5
5161,2016/1/7 22:00,5
5162,2016/1/7 22:05,11
5163,2016/1/7 22:10,10
5164,2016/1/7 22:15,12
5165,2016/1/7 22:20,11
5166,2016/1/7 22:25,9
5167,2016/1/7 22:30,7
5168,2016/1/7 22:35,7
5169,2016/1/7 22:40,6
5170,2016/1/7 22:45,7
5171,2016/1/7 22:50,7
5172,2016/1/7 22:55,4
5173,2016/1/7 23:00,0
5174,2016/1/7 23:05,4
5175,2016/1/7 23:10,7
5176,2016/1/7 23:15,3
5177,2016/1/7 23:20,8
5178,2016/1/7 23:25,5
5179,2016/1/7 23:30,4
5180,2016/1/7 23:35,1
5181,2016/1/7 23:40,4
5182,2016/1/7 23:45,4
5183,2016/1/7 23:50,3
5184,2016/1/7 23:55,3
5185,2016/1/8 0:00,1
5186,2016/1/8 0:05,3
5187,2016/1/8 0:10,5
5188,2016/1/8 0:15,3
5189,2016/1/8 0:20,4
5190,2016/1/8 0:25,3
5191,2016/1/8 0:30,2
5192,2016/1/8 0:35,6
5193,2016/1/8 0:40,2
5194,2016/1/8 0:45,2
5195,2016/1/8 0:50,4
5196,2016/1/8 0:55,1
5197,2016/1/8 1:00,2
5198,2016/1/8 1:05,1
5199,2016/1/8 1:10,6
5200,2016/1/8 1:15,4
5201,2016/1/8 1:20,5
5202,2016/1/8 1:25,1
5203,2016/1/8 1:30,2
5204,2016/1/8 1:35,4
5205,2016/1/8 1:40,1
5206,2016/1/8 1:45,1
5207,2016/1/8 1:50,6
5208,2016/1/8 1:55,2
5209,2016/1/8 2:00,2
5210,2016/1/8 2:05,1
5211,2016/1/8 2:10,0
5212,2016/1/8 2:15,1
5213,2016/1/8 2:20,2
5214,2016/1/8 2:25,0
5215,2016/1/8 2:30,3
5216,2016/1/8 2:35,4
5217,2016/1/8 2:40,0
5218,2016/1/8 2:45,1
5219,2016/1/8 2:50,3
5220,2016/1/8 2:55,2
5221,2016/1/8 3:00,3
5222,2016/1/8 3:05,1
5223,2016/1/8 3:10,0
5224,2016/1/8 3:15,2
5225,2016/1/8 3:20,3
5226,2016/1/8 3:25,3
5227,2016/1/8 3:30,0
5228,2016/1/8 3:35,4
5229,2016/1/8 3:40,1
5230,2016/1/8 3:45,2
5231,2016/1/8 3:50,1
5232,2016/1/8 3:55,0
5233,2016/1/8 4:00,1
5234,2016/1/8 4:05,1
5235,2016/1/8 4:10,2
5236,2016/1/8 4:15,2
5237,2016/1/8 4:20,3
5238,2016/1/8 4:25,1
5239,2016/1/8 4:30,3
5240,2016/1/8 4:35,4
5241,2016/1/8 4:40,0
5242,2016/1/8 4:45,6
5243,2016/1/8 4:50,4
5244,2016/1/8 4:55,1
5245,2016/1/8 5:00,5
5246,2016/1/8 5:05,5
5247,2016/1/8 5:10,3
5248,2016/1/8 5:15,5
5249,2016/1/8 5:20,7
5250,2016/1/8 5:25,3
5251,2016/1/8 5:30,9
5252,2016/1/8 5:35,6
5253,2016/1/8 5:40,6
5254,2016/1/8 5:45,9
5255,2016/1/8 5:50,13
5256,2016/1/8 5:55,8
5257,2016/1/8 6:00,16
5258,2016/1/8 6:05,15
5259,2016/1/8 6:10,27
5260,2016/1/8 6:15,25
5261,2016/1/8 6:20,19
5262,2016/1/8 6:25,39
5263,2016/1/8 6:30,38
5264,2016/1/8 6:35,36
5265,2016/1/8 6:40,40
5266,2016/1/8 6:45,39
5267,2016/1/8 6:50,41
5268,2016/1/8 6:55,28
5269,2016/1/8 7:00,32
5270,2016/1/8 7:05,41
5271,2016/1/8 7:10,38
5272,2016/1/8 7:15,50
5273,2016/1/8 7:20,39
5274,2016/1/8 7:25,47
5275,2016/1/8 7:30,53
5276,2016/1/8 7:35,53
5277,2016/1/8 7:40,61
5278,2016/1/8 7:45,59
5279,2016/1/8 7:50,62
5280,2016/1/8 7:55,75
5281,2016/1/8 8:00,56
5282,2016/1/8 8:05,64
5283,2016/1/8 8:10,69
5284,2016/1/8 8:15,48
5285,2016/1/8 8:20,57
5286,2016/1/8 8:25,65
5287,2016/1/8 8:30,54
5288,2016/1/8 8:35,57
5289,2016/1/8 8:40,46
5290,2016/1/8 8:45,52
5291,2016/1/8 8:50,54
5292,2016/1/8 8:55,41
5293,2016/1/8 9:00,60
5294,2016/1/8 9:05,39
5295,2016/1/8 9:10,48
5296,2016/1/8 9:15,41
5297,2016/1/8 9:20,40
5298,2016/1/8 9:25,42
5299,2016/1/8 9:30,47
5300,2016/1/8 9:35,44
5301,2016/1/8 9:40,29
5302,2016/1/8 9:45,44
5303,2016/1/8 9:50,40
5304,2016/1/8 9:55,36
5305,2016/1/8 10:00,39
5306,2016/1/8 10:05,52
5307,2016/1/8 10:10,34
5308,2016/1/8 10:15,64
5309,2016/1/8 10:20,43
5310,2016/1/8 10:25,52
5311,2016/1/8 10:30,51
5312,2016/1/8 10:35,51
5313,2016/1/8 10:40,48
5314,2016/1/8 10:45,43
5315,2016/1/8 10:50,45
5316,2016/1/8 10:55,39
5317,2016/1/8 11:00,40
5318,2016/1/8 11:05,39
5319,2016/1/8 11:10,38
5320,2016/1/8 11:15,44
5321,2016/1/8 11:20,38
5322,2016/1/8 11:25,30
5323,2016/1/8 11:30,30
5324,2016/1/8 11:35,41
5325,2016/1/8 11:40,29
5326,2016/1/8 11:45,40
5327,2016/1/8 11:50,32
5328,2016/1/8 11:55,27
5329,2016/1/8 12:00,30
5330,2016/1/8 12:05,50
5331,2016/1/8 12:10,35
5332,2016/1/8 12:15,36
5333,2016/1/8 12:20,32
5334,2016/1/8 12:25,37
5335,2016/1/8 12:30,38
5336,2016/1/8 12:35,28
5337,2016/1/8 12:40,40
5338,2016/1/8 12:45,29
5339,2016/1/8 12:50,32
5340,2016/1/8 12:55,37
5341,2016/1/8 13:00,26
5342,2016/1/8 13:05,46
5343,2016/1/8 13:10,29
5344,2016/1/8 13:15,41
5345,2016/1/8 13:20,44
5346,2016/1/8 13:25,36
5347,2016/1/8 13:30,35
5348,2016/1/8 13:35,41
5349,2016/1/8 13:40,27
5350,2016/1/8 13:45,45
5351,2016/1/8 13:50,36
5352,2016/1/8 13:55,46
5353,2016/1/8 14:00,46
5354,2016/1/8 14:05,35
5355,2016/1/8 14:10,54
5356,2016/1/8 14:15,46
5357,2016/1/8 14:20,45
5358,2016/1/8 14:25,51
5359,2016/1/8 14:30,45
5360,2016/1/8 14:35,36
5361,2016/1/8 14:40,32
5362,2016/1/8 14:45,48
5363,2016/1/8 14:50,45
5364,2016/1/8 14:55,34
5365,2016/1/8 15:00,41
5366,2016/1/8 15:05,57
5367,2016/1/8 15:10,36
5368,2016/1/8 15:15,43
5369,2016/1/8 15:20,38
5370,2016/1/8 15:25,43
5371,2016/1/8 15:30,57
5372,2016/1/8 15:35,49
5373,2016/1/8 15:40,54
5374,2016/1/8 15:45,49
5375,2016/1/8 15:50,46
5376,2016/1/8 15:55,62
5377,2016/1/8 16:00,49
5378,2016/1/8 16:05,59
5379,2016/1/8 16:10,53
5380,2016/1/8 16:15,68
5381,2016/1/8 16:20,45
5382,2016/1/8 16:25,77
5383,2016/1/8 16:30,66
5384,2016/1/8 16:35,60
5385,2016/1/8 16:40,68
5386,2016/1/8 16:45,58
5387,2016/1/8 16:50,62
5388,2016/1/8 16:55,54
5389,2016/1/8 17:00,38
5390,2016/1/8 17:05,48
5391,2016/1/8 17:10,43
5392,2016/1/8 17:15,36
5393,2016/1/8 17:20,45
5394,2016/1/8 17:25,34
5395,2016/1/8 17:30,39
5396,2016/1/8 17:35,35
5397,2016/1/8 17:40,42
5398,2016/1/8 17:45,33
5399,2016/1/8 17:50,45
5400,2016/1/8 17:55,49
5401,2016/1/8 18:00,46
5402,2016/1/8 18:05,40
5403,2016/1/8 18:10,52
5404,2016/1/8 18:15,47
5405,2016/1/8 18:20,29
5406,2016/1/8 18:25,39
5407,2016/1/8 18:30,37
5408,2016/1/8 18:35,44
5409,2016/1/8 18:40,29
5410,2016/1/8 18:45,34
5411,2016/1/8 18:50,29
5412,2016/1/8 18:55,26
5413,2016/1/8 19:00,24
5414,2016/1/8 19:05,18
5415,2016/1/8 19:10,25
5416,2016/1/8 19:15,20
5417,2016/1/8 19:20,24
5418,2016/1/8 19:25,30
5419,2016/1/8 19:30,21
5420,2016/1/8 19:35,19
5421,2016/1/8 19:40,22
5422,2016/1/8 19:45,16
5423,2016/1/8 19:50,22
5424,2016/1/8 19:55,20
5425,2016/1/8 20:00,18
5426,2016/1/8 20:05,20
5427,2016/1/8 20:10,15
5428,2016/1/8 20:15,22
5429,2016/1/8 20:20,19
5430,2016/1/8 20:25,19
5431,2016/1/8 20:30,18
5432,2016/1/8 20:35,16
5433,2016/1/8 20:40,11
5434,2016/1/8 20:45,21
5435,2016/1/8 20:50,15
5436,2016/1/8 20:55,17
5437,2016/1/8 21:00,20
5438,2016/1/8 21:05,12
5439,2016/1/8 21:10,14
5440,2016/1/8 21:15,17
5441,2016/1/8 21:20,10
5442,2016/1/8 21:25,17
5443,2016/1/8 21:30,13
5444,2016/1/8 21:35,6
5445,2016/1/8 21:40,8
5446,2016/1/8 21:45,7
5447,2016/1/8 21:50,10
5448,2016/1/8 21:55,11
5449,2016/1/8 22:00,4
5450,2016/1/8 22:05,9
5451,2016/1/8 22:10,6
5452,2016/1/8 22:15,8
5453,2016/1/8 22:20,14
5454,2016/1/8 22:25,7
5455,2016/1/8 22:30,8
5456,2016/1/8 22:35,13
5457,2016/1/8 22:40,11
5458,2016/1/8 22:45,8
5459,2016/1/8 22:50,5
5460,2016/1/8 22:55,12
5461,2016/1/8 23:00,4
5462,2016/1/8 23:05,4
5463,2016/1/8 23:10,2
5464,2016/1/8 23:15,5
5465,2016/1/8 23:20,9
5466,2016/1/8 23:25,7
5467,2016/1/8 23:30,6
5468,2016/1/8 23:35,6
5469,2016/1/8 23:40,8
5470,2016/1/8 23:45,5
5471,2016/1/8 23:50,2
5472,2016/1/8 23:55,7
5473,2016/1/9 0:00,5
5474,2016/1/9 0:05,3
5475,2016/1/9 0:10,3
5476,2016/1/9 0:15,3
5477,2016/1/9 0:20,2
5478,2016/1/9 0:25,6
5479,2016/1/9 0:30,6
5480,2016/1/9 0:35,5
5481,2016/1/9 0:40,3
5482,2016/1/9 0:45,5
5483,2016/1/9 0:50,2
5484,2016/1/9 0:55,3
5485,2016/1/9 1:00,2
5486,2016/1/9 1:05,1
5487,2016/1/9 1:10,2
5488,2016/1/9 1:15,6
5489,2016/1/9 1:20,2
5490,2016/1/9 1:25,4
5491,2016/1/9 1:30,3
5492,2016/1/9 1:35,2
5493,2016/1/9 1:40,4
5494,2016/1/9 1:45,1
5495,2016/1/9 1:50,1
5496,2016/1/9 1:55,6
5497,2016/1/9 2:00,1
5498,2016/1/9 2:05,2
5499,2016/1/9 2:10,4
5500,2016/1/9 2:15,2
5501,2016/1/9 2:20,7
5502,2016/1/9 2:25,1
5503,2016/1/9 2:30,3
